English,French
go,va
run,cours
stop,arrête
help,aide
come,viens
wait,attends
sit,assieds-toi
listen,écoute
look,regarde
leave,pars
i agree,je suis d'accord
i know,je sais
i lied,j'ai menti
i lost,j'ai perdu
i quit,j'abandonne
i won,j'ai gagné
i care,je m'en soucie
i tried,j'ai essayé
i failed,j'ai échoué
i cried,j'ai pleuré
be nice,sois gentil
be quiet,tais-toi
be careful,fais attention
be honest,sois honnête
be patient,sois patient
be strong,sois fort
be ready,sois prêt
be brave,sois courageux
be kind,sois aimable
be good,sois sage
i am tired,je suis fatigué
i am happy,je suis heureux
i am sorry,je suis désolé
i am ready,je suis prêt
i am bored,je m'ennuie
i am cold,j'ai froid
i am hot,j'ai chaud
i am lost,je suis perdu
i am fine,je vais bien
i am busy,je suis occupé
i am sick,je suis malade
i am free,je suis libre
i am late,je suis en retard
i am full,je suis rassasié
i am new,je suis nouveau
i am old,je suis vieux
i am young,je suis jeune
i am tall,je suis grand
i am rich,je suis riche
i am poor,je suis pauvre
he left,il est parti
she left,elle est partie
he came,il est venu
she came,elle est venue
he ran,il a couru
she ran,elle a couru
he fell,il est tombé
she fell,elle est tombée
he won,il a gagné
she won,elle a gagné
he lied,il a menti
she lied,elle a menti
he slept,il a dormi
she slept,elle a dormi
he smiled,il a souri
she smiled,elle a souri
he cried,il a pleuré
she cried,elle a pleuré
he waited,il a attendu
she waited,elle a attendu
we left,nous sommes partis
we came,nous sommes venus
we won,nous avons gagné
we lost,nous avons perdu
we tried,nous avons essayé
we failed,nous avons échoué
we agreed,nous avons accepté
we waited,nous avons attendu
we stayed,nous sommes restés
we helped,nous avons aidé
they left,ils sont partis
they came,ils sont venus
they won,ils ont gagné
they lost,ils ont perdu
they ran,ils ont couru
they slept,ils ont dormi
they waited,ils ont attendu
they helped,ils ont aidé
they agreed,ils ont accepté
they tried,ils ont essayé
i like cats,j'aime les chats
i like dogs,j'aime les chiens
i like rain,j'aime la pluie
i like snow,j'aime la neige
i like music,j'aime la musique
i like paris,j'aime paris
i like food,j'aime la nourriture
i like sport,j'aime le sport
i like coffee,j'aime le café
i like summer,j'aime l'été
i love you,je t'aime
i love paris,j'adore paris
i love music,j'adore la musique
i love dogs,j'adore les chiens
i love cats,j'adore les chats
i love france,j'adore la france
